Date,Open,High,Low,Close,Adj Close,Volume
2020-11-23,19104.410156,19390.964844,16351.035156,18177.484375,18177.484375,207728686191
2020-11-30,18178.322266,19845.974609,18178.322266,19345.121094,19345.121094,253088772491
2020-12-07,19343.128906,19411.828125,17619.533203,19142.382813,19142.382813,193678842258
2020-12-14,19144.492188,24209.660156,19012.708984,23477.294922,23477.294922,281723269352
2020-12-21,23474.455078,28288.839844,22159.367188,26272.294922,26272.294922,339132207025
2020-12-28,26280.822266,34608.558594,25987.298828,32782.023438,32782.023438,379626054545
2021-01-04,32810.949219,41946.738281,28722.755859,38356.441406,38356.441406,538834804975
2021-01-11,38346.531250,39966.406250,30549.599609,35791.277344,35791.277344,508900951412
2021-01-18,35792.238281,37755.890625,28953.373047,32289.378906,32289.378906,423439379849
2021-01-25,32285.798828,38406.261719,29367.138672,33114.359375,33114.359375,497468344671
2021-02-01,33114.578125,40846.546875,32384.228516,38903.441406,38903.441406,449918619842
2021-02-08,38886.828125,49487.640625,38076.324219,48717.289063,48717.289063,580021243858
2021-02-15,48696.535156,58330.570313,46347.476563,57539.945313,57539.945313,470533297170
2021-02-22,57532.738281,57533.390625,43241.617188,45137.769531,45137.769531,766679775805
2021-03-01,45159.503906,52535.136719,45115.093750,51206.691406,51206.691406,333113779409
2021-03-08,51174.117188,61683.863281,49506.054688,59302.316406,59302.316406,373838576722
2021-03-15,59267.429688,60540.992188,53555.027344,57523.421875,57523.421875,393542542227
2021-03-22,57517.890625,58471.480469,50856.570313,55950.746094,55950.746094,403128836645
2021-03-29,55947.898438,60267.187500,55139.339844,58758.554688,58758.554688,408348561550
2021-04-05,58760.875000,61276.664063,55604.023438,60204.964844,60204.964844,406637390979
2021-04-12,60175.945313,64863.097656,52829.535156,56216.183594,56216.183594,508118943571
2021-04-19,56191.585938,57520.054688,47159.484375,49004.253906,49004.253906,444719708699
2021-04-26,49077.792969,58448.339844,48852.796875,56631.078125,56631.078125,335231529997
2021-05-03,56620.273438,59464.613281,52969.054688,58232.316406,58232.316406,458766142208
2021-05-10,58250.871094,59519.355469,43963.351563,46456.058594,46456.058594,483967915938
2021-05-17,46415.898438,46623.558594,30681.496094,34770.582031,34770.582031,563629210102
2021-05-24,34700.363281,40782.078125,33520.738281,35678.128906,35678.128906,350206489990
2021-05-31,35658.593750,39478.953125,34241.945313,35862.378906,35862.378906,248884892724
2021-06-07,35835.265625,39322.781250,31114.443359,39097.859375,39097.859375,298428017340
2021-06-14,39016.968750,41295.269531,33432.074219,35698.296875,35698.296875,269949570053
2021-06-21,35641.144531,35721.640625,28893.621094,34649.644531,34649.644531,305541799334
2021-06-28,34679.121094,36542.109375,32770.679688,35287.781250,35287.781250,231729218470
2021-07-05,35284.343750,35284.343750,32133.183594,34240.187500,34240.187500,178445862441
2021-07-12,34254.015625,34592.156250,31100.673828,31796.810547,31796.810547,147501894180
2021-07-19,31800.011719,35364.925781,29360.955078,35350.187500,35350.187500,156414750211
2021-07-26,35384.031250,42541.679688,35287.312500,39974.894531,39974.894531,237553113912
2021-08-02,39907.261719,45282.351563,37458.003906,43798.117188,43798.117188,226902699564
2021-08-09,43791.925781,48098.683594,42848.687500,47047.003906,47047.003906,234268000892
2021-08-16,47019.960938,49717.019531,43998.316406,49321.652344,49321.652344,236289722726
2021-08-23,49291.675781,50482.078125,46394.281250,48829.832031,48829.832031,223947952688
2021-08-30,48834.851563,51868.679688,46562.437500,51753.410156,51753.410156,256225023619
2021-09-06,51769.003906,52853.765625,43285.207031,46063.269531,46063.269531,293311066613
2021-09-13,46057.214844,48791.781250,43591.320313,47260.218750,47260.218750,226141953163
2021-09-20,47261.406250,47328.199219,39787.609375,43208.539063,43208.539063,270099994433
2021-09-27,43234.183594,49130.691406,40829.667969,48199.953125,48199.953125,223042115392
2021-10-04,48208.906250,56401.304688,47045.003906,54771.578125,54771.578125,261919545521
2021-10-11,54734.125000,62757.128906,54370.972656,61553.617188,61553.617188,277084548345
2021-10-18,61548.804688,66930.390625,59643.343750,60930.835938,60930.835938,257856648064
2021-10-25,60893.925781,63729.324219,58206.917969,61318.957031,61318.957031,256114057651
2021-11-01,61320.449219,64242.792969,59695.183594,63326.988281,63326.988281,227064607869
2021-11-08,63344.066406,68789.625000,62333.914063,65466.839844,65466.839844,259776276520
2021-11-15,65521.289063,66281.570313,55705.179688,58730.476563,58730.476563,253419951009
2021-11-22,58706.847656,59266.359375,55632.761719,57206.367188,57206.367188,105656329263
2021-11-25,57409.097656,58225.140625,57106.007813,57477.589844,57477.589844,33997770752
